faculty_id,faculty_name,email,designation,created_at
1,"Dr. Raj Mehta",raj.mehta@college.edu,Professor,"2026-04-16 15:23:11"
2,"Dr. Anita Sharma",anita.sharma@college.edu,"Associate Professor","2026-04-16 15:23:11"
3,"Dr. Karan Patel",karan.patel@college.edu,"Assistant Professor","2026-04-16 15:23:11"
4,"Dr. Neha Verma",neha.verma@college.edu,Professor,"2026-04-16 15:23:11"
5,"Dr. Suresh Iyer",suresh.iyer@college.edu,"Associate Professor","2026-04-16 15:23:11"
6,"Dr. Priya Nair",priya.nair@college.edu,"Assistant Professor","2026-04-16 15:23:11"
7,"Dr. Manish Gupta",manish.gupta@college.edu,Professor,"2026-04-16 15:23:11"
8,"Dr. Ritu Malhotra",ritu.malhotra@college.edu,"Assistant Professor","2026-04-16 15:23:11"
9,"Dr. Arvind Rao",arvind.rao@college.edu,"Associate Professor","2026-04-16 15:23:11"
10,"Dr. Shalini Desai",shalini.desai@college.edu,Professor,"2026-04-16 15:23:11"
11,"Dr. Vivek Khanna",vivek.khanna@college.edu,"Assistant Professor","2026-04-16 15:23:11"
12,"Dr. Meera Joshi",meera.joshi@college.edu,"Associate Professor","2026-04-16 15:23:11"
13,"Dr. Rohit Kulkarni",rohit.kulkarni@college.edu,Professor,"2026-04-16 15:23:11"
14,"Dr. Anjali Menon",anjali.menon@college.edu,"Assistant Professor","2026-04-16 15:23:11"
15,"Dr. Deepak Chawla",deepak.chawla@college.edu,"Associate Professor","2026-04-16 15:23:11"
16,"Dr. Kavita Bansal",kavita.bansal@college.edu,Professor,"2026-04-16 15:23:11"
17,"Dr. Nikhil Sinha",nikhil.sinha@college.edu,"Assistant Professor","2026-04-16 15:23:11"
18,"Dr. Swati Gokhale",swati.gokhale@college.edu,"Associate Professor","2026-04-16 15:23:11"
19,"Dr. Harish Vyas",harish.vyas@college.edu,Professor,"2026-04-16 15:23:11"
20,"Dr. Pooja Reddy",pooja.reddy@college.edu,"Assistant Professor","2026-04-16 15:23:11"
21,"Dr. Ajay Thakur",ajay.thakur@college.edu,"Associate Professor","2026-04-16 15:23:11"
22,"Dr. Sneha Kulshreshtha",sneha.kulshreshtha@college.edu,Professor,"2026-04-16 15:23:11"
23,"Dr. Mohan Krishnan",mohan.krishnan@college.edu,"Assistant Professor","2026-04-16 15:23:11"
24,"Dr. Radhika Jain",radhika.jain@college.edu,"Associate Professor","2026-04-16 15:23:11"
25,"Dr. Tarun Bhatia",tarun.bhatia@college.edu,Professor,"2026-04-16 15:23:11"
26,"Dr. Sonal Kapoor",sonal.kapoor@college.edu,"Assistant Professor","2026-04-16 15:23:11"
27,"Dr. Gaurav Saxena",gaurav.saxena@college.edu,"Associate Professor","2026-04-16 15:23:11"
28,"Dr. Nisha Pillai",nisha.pillai@college.edu,Professor,"2026-04-16 15:23:11"
29,"Dr. Varun Shetty",varun.shetty@college.edu,"Assistant Professor","2026-04-16 15:23:11"
30,"Dr. Leena Mukherjee",leena.mukherjee@college.edu,"Associate Professor","2026-04-16 15:23:11"
31,"Dr. Ashok Banerjee",ashok.banerjee@college.edu,Professor,"2026-04-16 15:23:11"
32,"Dr. Divya Khatri",divya.khatri@college.edu,"Assistant Professor","2026-04-16 15:23:11"
33,"Dr. Ramesh Pawar",ramesh.pawar@college.edu,"Associate Professor","2026-04-16 15:23:11"
34,"Dr. Shreya Dutta",shreya.dutta@college.edu,Professor,"2026-04-16 15:23:11"
35,"Dr. Hemant Shukla",hemant.shukla@college.edu,"Assistant Professor","2026-04-16 15:23:11"
36,"Dr. Pallavi Sethi",pallavi.sethi@college.edu,"Associate Professor","2026-04-16 15:23:11"
37,"Dr. Yogesh Deshpande",yogesh.deshpande@college.edu,Professor,"2026-04-16 15:23:11"
38,"Dr. Charu Venkatesh",charu.venkatesh@college.edu,"Assistant Professor","2026-04-16 15:23:11"
39,"Dr. Sanjay Narang",sanjay.narang@college.edu,"Associate Professor","2026-04-16 15:23:11"
40,"Dr. Meenal Bhatt",meenal.bhatt@college.edu,Professor,"2026-04-16 15:23:11"
41,"Dr. Keshav Tripathi",keshav.tripathi@college.edu,"Assistant Professor","2026-04-16 15:23:11"
42,"Dr. Rupa Srinivasan",rupa.srinivasan@college.edu,"Associate Professor","2026-04-16 15:23:11"
43,"Dr. Om Prakash",om.prakash@college.edu,Professor,"2026-04-16 15:23:11"
44,"Dr. Tanvi Kohli",tanvi.kohli@college.edu,"Assistant Professor","2026-04-16 15:23:11"
45,"Dr. Jatin Arora",jatin.arora@college.edu,"Associate Professor","2026-04-16 15:23:11"
46,"Dr. Bhavna Saxena",bhavna.saxena@college.edu,Professor,"2026-04-16 15:23:11"
47,"Dr. Kunal Wadhwa",kunal.wadhwa@college.edu,"Assistant Professor","2026-04-16 15:23:11"
48,"Dr. Shruti Rao",shruti.rao@college.edu,"Associate Professor","2026-04-16 15:23:11"
49,"Dr. Pradeep Malviya",pradeep.malviya@college.edu,Professor,"2026-04-16 15:23:11"
50,"Dr. Aishwarya Nambiar",aishwarya.nambiar@college.edu,"Assistant Professor","2026-04-16 15:23:11"
