student_id,roll_number,full_name,email,department,semester,created_at
100,23051128,Aarav Verma,23051128@college.edu,EEE,2,2026-04-16 16:13:15
131,23077660,Yash Verma,23077660@college.edu,ECE,2,2026-04-16 16:13:15
142,23078954,Mohit Reddy,23078954@college.edu,ME,7,2026-04-16 16:13:15
155,23074104,Ananya Mehta,23074104@college.edu,IT,7,2026-04-16 16:13:15
158,23069482,Meera Das,23069482@college.edu,CSE,1,2026-04-16 16:13:15
159,23051312,Yash Nair,23051312@college.edu,CSE,3,2026-04-16 16:13:15
165,23076710,Ananya Rao,23076710@college.edu,IT,3,2026-04-16 16:13:15
169,23061562,Siddharth Reddy,23061562@college.edu,IT,1,2026-04-16 16:13:15
172,23078541,Meera Choudhary,23078541@college.edu,CSE,2,2026-04-16 16:13:15
174,23078812,Priya Thakur,23078812@college.edu,IT,4,2026-04-16 16:13:15
187,23069825,Kunal Ghosh,23069825@college.edu,EEE,4,2026-04-16 16:13:15
193,23057299,Rohan Reddy,23057299@college.edu,ECE,4,2026-04-16 16:13:15
209,23061376,Vivaan Sinha,23061376@college.edu,IT,4,2026-04-16 16:13:15
211,23056183,Rohan Agarwal,23056183@college.edu,EEE,3,2026-04-16 16:13:15
226,23073542,Rahul Iyer,23073542@college.edu,ECE,8,2026-04-16 16:13:15
229,23073876,Harsh Nair,23073876@college.edu,CSE,4,2026-04-16 16:13:15
239,23077721,Kavya Agarwal,23077721@college.edu,ECE,3,2026-04-16 16:13:15
247,23075258,Yash Thakur,23075258@college.edu,CSE,4,2026-04-16 16:13:15
252,23079053,Ritika Jain,23079053@college.edu,IT,1,2026-04-16 16:13:15
255,23062034,Kavya Joshi,23062034@college.edu,IT,1,2026-04-16 16:13:15
262,23060296,Diya Sharma,23060296@college.edu,CSE,2,2026-04-16 16:13:15
271,23054422,Yash Choudhary,23054422@college.edu,CSE,5,2026-04-16 16:13:15
281,23070191,Aditi Das,23070191@college.edu,CSE,1,2026-04-16 16:13:15
