full_name,course_name,present_days,total_days
"Nikhil Khanna","Industrial Engineering",0,1
"Krishna Ghosh","Industrial Engineering",2,3
"Deepak Dubey","Industrial Engineering",0,1
"Sneha Reddy","Industrial Engineering",2,2
"Sneha Joshi","Industrial Engineering",0,1
"Ananya Verma","Industrial Engineering",1,1
"Ritika Sinha","Industrial Engineering",3,3
"Om Verma","Industrial Engineering",1,1
"Siddharth Jain","Industrial Engineering",2,2
"Sneha Kapoor","Industrial Engineering",1,2
"Tanmay Choudhary","Industrial Engineering",1,1
"Meera Das","Industrial Engineering",1,2
"Sai Nair","Industrial Engineering",2,2
"Priya Bansal","Industrial Engineering",1,1
"Priya Choudhary","Industrial Engineering",2,2
"Rohan Bansal","Industrial Engineering",1,1
"Deepak Rao","Industrial Engineering",1,1
"Ananya Das","Industrial Engineering",1,1
"Aarav Patel","Industrial Engineering",1,2
"Om Jain","Industrial Engineering",1,1
"Pooja Menon","Industrial Engineering",1,1
"Ritika Mehta","Industrial Engineering",2,2
"Yash Thakur","Industrial Engineering",1,1
"Manav Joshi","Industrial Engineering",1,1
"Siddharth Choudhary","Industrial Engineering",0,1
"Neha Gupta","Industrial Engineering",1,1
"Sai Menon","Industrial Engineering",1,1
"Rohan Ghosh","Industrial Engineering",1,1
"Tanmay Das","Industrial Engineering",1,1
"Pooja Kapoor","Industrial Engineering",1,1
"Ananya Reddy","Industrial Engineering",2,2
"Kunal Agarwal","Industrial Engineering",1,1
"Aditya Das","Industrial Engineering",0,1
"Ishaan Gupta","Industrial Engineering",1,1
"Rohan Iyer","Industrial Engineering",2,2
"Ritesh Pandey","Industrial Engineering",1,1
"Siddharth Rao","Industrial Engineering",1,1
"Nikhil Patel","Industrial Engineering",1,1
"Arjun Pandey","Industrial Engineering",1,2
"Yash Das","Industrial Engineering",1,1
"Yash Pandey","Industrial Engineering",1,1
"Pooja Bansal","Industrial Engineering",1,1
"Pooja Agarwal","Industrial Engineering",1,1
"Vivaan Jain","Industrial Engineering",2,3
"Dev Sharma","Industrial Engineering",1,1
"Tanmay Sharma","Industrial Engineering",1,1
"Aditi Sharma","Industrial Engineering",1,1
"Tanmay Ghosh","Industrial Engineering",1,1
"Sneha Thakur","Industrial Engineering",1,1
"Ishaan Choudhary","Industrial Engineering",1,1
"Krishna Sinha","Industrial Engineering",1,1
"Sneha Choudhary","Industrial Engineering",2,2
"Ishaan Sinha","Industrial Engineering",0,1
"Kavya Choudhary","Industrial Engineering",1,1
"Ritika Choudhary","Industrial Engineering",1,1
"Aditi Thakur","Industrial Engineering",1,1
"Arjun Jain","Industrial Engineering",1,1
"Varun Jain","Industrial Engineering",1,1
"Sai Ghosh","Industrial Engineering",1,1
"Pooja Das","Industrial Engineering",2,2
"Ishaan Menon","Industrial Engineering",1,1
"Krishna Dubey","Industrial Engineering",1,1
"Arjun Das","Industrial Engineering",1,1
"Ananya Dubey","Industrial Engineering",1,1
"Ritika Bansal","Industrial Engineering",1,1
"Tanmay Bansal","Industrial Engineering",1,1
"Krishna Thakur","Industrial Engineering",1,2
"Siddharth Nair","Industrial Engineering",1,1
"Ritika Sharma","Industrial Engineering",1,2
"Varun Dubey","Industrial Engineering",1,1
"Nikhil Das","Industrial Engineering",1,1
"Kunal Das","Industrial Engineering",3,4
"Priya Das","Industrial Engineering",2,2
"Ananya Iyer","Industrial Engineering",1,1
"Mohit Agarwal","Industrial Engineering",1,1
"Dev Kapoor","Industrial Engineering",1,2
"Meera Sharma","Industrial Engineering",1,1
"Priya Sharma","Industrial Engineering",1,1
"Sai Mehta","Industrial Engineering",1,1
"Diya Dubey","Industrial Engineering",1,1
"Sai Thakur","Industrial Engineering",1,1
"Kunal Khanna","Industrial Engineering",0,1
"Om Choudhary","Industrial Engineering",2,2
"Arjun Thakur","Industrial Engineering",1,1
"Ritesh Rao","Industrial Engineering",1,1
"Diya Bansal","Industrial Engineering",0,1
"Sai Iyer","Industrial Engineering",1,1
"Neha Sinha","Industrial Engineering",1,1
"Nikhil Pandey","Industrial Engineering",1,1
"Vivaan Sharma","Industrial Engineering",1,1
"Ritika Verma","Industrial Engineering",3,3
"Aarav Rao","Industrial Engineering",1,1
"Nikhil Rao","Industrial Engineering",0,1
"Neha Kapoor","Industrial Engineering",1,1
"Deepak Das","Industrial Engineering",1,1
"Rahul Iyer","Industrial Engineering",1,1
"Nikhil Sinha","Industrial Engineering",1,1
"Sai Jain","Industrial Engineering",1,1
"Harsh Reddy","Industrial Engineering",0,1
"Priya Jain","Industrial Engineering",1,1
"Dev Verma","Industrial Engineering",1,1
"Kavya Thakur","Industrial Engineering",0,1
"Rohan Sharma","Industrial Engineering",2,2
"Manav Nair","Industrial Engineering",1,1
"Manav Menon","Industrial Engineering",1,1
"Manav Thakur","Industrial Engineering",1,1
"Rahul Reddy","Industrial Engineering",1,1
