student_id,full_name,attendance_percentage
29262,"Sai Das",100.00
29265,"Krishna Rao",100.00
29288,"Neha Sharma",100.00
29300,"Ananya Gupta",100.00
29301,"Arjun Agarwal",100.00
29312,"Priya Gupta",100.00
29327,"Arjun Das",100.00
29336,"Meera Ghosh",100.00
29377,"Neha Pandey",100.00
29394,"Rohan Joshi",100.00
29400,"Tanmay Bansal",100.00
29404,"Manav Verma",100.00
29412,"Varun Kapoor",100.00
29414,"Meera Gupta",100.00
29418,"Rohan Gupta",100.00
29436,"Krishna Gupta",100.00
29444,"Vivaan Verma",100.00
29448,"Manav Iyer",100.00
29470,"Pooja Pandey",100.00
29474,"Krishna Mehta",100.00
29490,"Deepak Jain",100.00
29492,"Harsh Kapoor",100.00
29502,"Diya Rao",100.00
29520,"Varun Sinha",100.00
29536,"Priya Joshi",100.00
29541,"Kavya Jain",100.00
29551,"Deepak Rao",100.00
29552,"Sneha Agarwal",100.00
29553,"Aman Reddy",100.00
29559,"Deepak Reddy",100.00
29567,"Varun Gupta",100.00
29578,"Deepak Ghosh",100.00
29581,"Siddharth Das",100.00
29593,"Priya Ghosh",100.00
29594,"Aarav Joshi",100.00
29596,"Vivaan Sharma",100.00
29597,"Om Rao",100.00
29604,"Ritesh Khanna",100.00
29610,"Om Das",100.00
29629,"Meera Patel",100.00
29631,"Ritesh Ghosh",100.00
29642,"Aditya Iyer",100.00
29661,"Harsh Sharma",100.00
29686,"Varun Kapoor",100.00
29694,"Priya Reddy",100.00
29698,"Pooja Jain",100.00
29704,"Dev Choudhary",100.00
29711,"Sai Nair",100.00
29745,"Siddharth Thakur",100.00
29783,"Aman Khanna",100.00
29786,"Manav Nair",100.00
29788,"Arjun Mehta",100.00
29789,"Nikhil Rao",100.00
29813,"Harsh Iyer",100.00
29846,"Mohit Menon",100.00
29859,"Krishna Joshi",100.00
29864,"Kunal Khanna",100.00
29868,"Pooja Verma",100.00
29886,"Om Gupta",100.00
29887,"Sneha Joshi",100.00
29896,"Arjun Gupta",100.00
29897,"Sneha Nair",100.00
29899,"Aman Sharma",100.00
29914,"Priya Das",100.00
29934,"Arjun Nair",100.00
29935,"Rahul Rao",100.00
29948,"Nikhil Pandey",100.00
29953,"Arjun Thakur",100.00
29979,"Rahul Gupta",100.00
29992,"Dev Jain",100.00
30002,"Kunal Joshi",100.00
30009,"Priya Patel",100.00
30010,"Nikhil Menon",100.00
30039,"Deepak Khanna",100.00
30041,"Priya Verma",100.00
30043,"Siddharth Choudhary",100.00
30051,"Manav Gupta",100.00
30065,"Arjun Ghosh",100.00
30074,"Aditi Sharma",100.00
30080,"Yash Mehta",100.00
30081,"Deepak Pandey",100.00
30125,"Mohit Iyer",100.00
30130,"Arjun Joshi",100.00
30179,"Sneha Sinha",100.00
30181,"Aditya Iyer",100.00
30198,"Aditya Khanna",100.00
30211,"Meera Pandey",100.00
30234,"Rahul Joshi",100.00
30237,"Deepak Rao",100.00
30241,"Aditi Agarwal",100.00
30255,"Aditya Agarwal",100.00
30305,"Priya Das",100.00
30322,"Varun Reddy",100.00
30326,"Harsh Choudhary",100.00
30328,"Dev Sharma",100.00
30334,"Aarav Joshi",100.00
30359,"Rohan Nair",100.00
30363,"Rohan Nair",100.00
30367,"Aditi Dubey",100.00
30371,"Kavya Bansal",100.00
30377,"Vivaan Mehta",100.00
30383,"Aditi Iyer",100.00
30395,"Aditi Rao",100.00
30397,"Neha Kapoor",100.00
30416,"Om Jain",100.00
30419,"Aman Iyer",100.00
30424,"Varun Kapoor",100.00
30447,"Rahul Agarwal",100.00
30448,"Nikhil Gupta",100.00
30456,"Aarav Khanna",100.00
30464,"Sai Sinha",100.00
30465,"Kunal Khanna",100.00
30466,"Sneha Ghosh",100.00
30476,"Kavya Ghosh",100.00
30478,"Kavya Menon",100.00
30483,"Sai Bansal",100.00
30484,"Vivaan Pandey",100.00
30490,"Rahul Mehta",100.00
30492,"Pooja Gupta",100.00
30511,"Manav Rao",100.00
30515,"Sneha Rao",100.00
30516,"Deepak Agarwal",100.00
30557,"Ishaan Nair",100.00
30561,"Aman Mehta",100.00
30572,"Neha Sharma",100.00
30612,"Yash Joshi",100.00
30619,"Neha Choudhary",100.00
30627,"Sneha Ghosh",100.00
30641,"Varun Choudhary",100.00
30652,"Krishna Jain",100.00
30659,"Aditi Gupta",100.00
30662,"Harsh Sharma",100.00
30665,"Siddharth Dubey",100.00
30674,"Harsh Jain",100.00
30699,"Aarav Gupta",100.00
30724,"Neha Sinha",100.00
30725,"Ananya Thakur",100.00
30726,"Neha Gupta",100.00
30727,"Priya Khanna",100.00
30751,"Arjun Verma",100.00
30752,"Om Joshi",100.00
30753,"Ishaan Bansal",100.00
30775,"Priya Gupta",100.00
30782,"Meera Verma",100.00
30783,"Ritika Thakur",100.00
30794,"Rahul Reddy",100.00
30798,"Kunal Rao",100.00
30806,"Aditya Gupta",100.00
30809,"Arjun Menon",100.00
30810,"Ritika Bansal",100.00
30812,"Vivaan Bansal",100.00
30819,"Deepak Pandey",100.00
30821,"Manav Joshi",100.00
30844,"Varun Iyer",100.00
30847,"Aarav Thakur",100.00
30852,"Pooja Thakur",100.00
30877,"Ritesh Das",100.00
30885,"Om Choudhary",100.00
30899,"Tanmay Rao",100.00
30917,"Om Patel",100.00
30938,"Om Mehta",100.00
30955,"Neha Nair",100.00
30959,"Siddharth Agarwal",100.00
30966,"Neha Bansal",100.00
30967,"Ishaan Verma",100.00
30984,"Diya Thakur",100.00
30989,"Ananya Verma",100.00
31014,"Varun Pandey",100.00
31026,"Krishna Nair",100.00
31058,"Harsh Mehta",100.00
31064,"Deepak Kapoor",100.00
31071,"Harsh Nair",100.00
31077,"Kavya Patel",100.00
31097,"Harsh Dubey",100.00
31105,"Nikhil Rao",100.00
31121,"Om Thakur",100.00
31125,"Mohit Verma",100.00
31128,"Sneha Mehta",100.00
31144,"Siddharth Agarwal",100.00
31164,"Neha Joshi",100.00
31167,"Kunal Joshi",100.00
31172,"Harsh Jain",100.00
31191,"Ishaan Bansal",100.00
31208,"Mohit Kapoor",100.00
31214,"Diya Agarwal",100.00
31217,"Rahul Joshi",100.00
31222,"Sneha Khanna",100.00
31238,"Varun Mehta",100.00
31239,"Krishna Menon",100.00
31247,"Diya Mehta",100.00
31269,"Manav Khanna",100.00
31273,"Aarav Bansal",100.00
31281,"Aditi Khanna",100.00
31287,"Varun Menon",100.00
31299,"Neha Pandey",100.00
31300,"Dev Jain",100.00
31313,"Ishaan Choudhary",100.00
31319,"Rohan Kapoor",100.00
31333,"Aditya Khanna",100.00
31342,"Aditi Khanna",100.00
31346,"Rohan Verma",100.00
31373,"Dev Menon",100.00
31382,"Aditya Jain",100.00
31385,"Nikhil Das",100.00
31391,"Pooja Patel",100.00
31394,"Aditya Sinha",100.00
31395,"Aman Reddy",100.00
31400,"Priya Verma",100.00
31411,"Manav Nair",100.00
31417,"Aditi Patel",100.00
31432,"Siddharth Gupta",100.00
31440,"Ishaan Verma",100.00
31442,"Sneha Pandey",100.00
31445,"Ritesh Dubey",100.00
31453,"Rahul Sinha",100.00
31468,"Kavya Pandey",100.00
31474,"Nikhil Reddy",100.00
31483,"Meera Mehta",100.00
31486,"Kavya Sinha",100.00
31491,"Tanmay Khanna",100.00
31492,"Om Thakur",100.00
31504,"Arjun Ghosh",100.00
31509,"Arjun Choudhary",100.00
31513,"Sneha Pandey",100.00
31517,"Dev Joshi",100.00
31525,"Aarav Patel",100.00
31558,"Om Patel",100.00
31561,"Aditya Dubey",100.00
31563,"Ishaan Patel",100.00
31576,"Aman Rao",100.00
31581,"Ishaan Joshi",100.00
31589,"Varun Patel",100.00
31610,"Ritesh Sinha",100.00
31617,"Ishaan Mehta",100.00
31627,"Rohan Dubey",100.00
31630,"Varun Das",100.00
31631,"Mohit Choudhary",100.00
31643,"Rahul Reddy",100.00
31649,"Om Iyer",100.00
31651,"Ananya Kapoor",100.00
31668,"Vivaan Bansal",100.00
31681,"Kavya Menon",100.00
31683,"Aditi Nair",100.00
31690,"Mohit Mehta",100.00
31693,"Manav Sharma",100.00
31695,"Harsh Rao",100.00
31698,"Aditi Khanna",100.00
31699,"Tanmay Iyer",100.00
31702,"Aditya Joshi",100.00
31711,"Manav Iyer",100.00
31716,"Dev Sharma",100.00
31722,"Tanmay Iyer",100.00
31739,"Tanmay Rao",100.00
31748,"Aarav Rao",100.00
31799,"Varun Agarwal",100.00
31826,"Krishna Sharma",100.00
31835,"Aditi Thakur",100.00
31837,"Kavya Rao",100.00
31846,"Aditi Sharma",100.00
31854,"Siddharth Kapoor",100.00
31864,"Varun Jain",100.00
31865,"Sai Agarwal",100.00
31870,"Diya Menon",100.00
31896,"Rahul Jain",100.00
31902,"Ishaan Ghosh",100.00
31906,"Vivaan Joshi",100.00
31920,"Vivaan Iyer",100.00
31927,"Aman Dubey",100.00
31930,"Kunal Kapoor",100.00
31935,"Pooja Rao",100.00
31942,"Meera Nair",100.00
31946,"Aman Agarwal",100.00
31949,"Nikhil Sharma",100.00
31951,"Meera Pandey",100.00
31952,"Harsh Agarwal",100.00
31958,"Ritesh Bansal",100.00
31965,"Ritesh Pandey",100.00
31974,"Krishna Pandey",100.00
31977,"Vivaan Patel",100.00
32011,"Manav Dubey",100.00
32016,"Ritika Khanna",100.00
32018,"Ritika Reddy",100.00
32021,"Kavya Jain",100.00
32032,"Siddharth Verma",100.00
32035,"Siddharth Khanna",100.00
32037,"Tanmay Ghosh",100.00
32038,"Priya Bansal",100.00
32048,"Siddharth Mehta",100.00
32053,"Yash Joshi",100.00
32061,"Diya Joshi",100.00
32062,"Priya Joshi",100.00
32070,"Meera Menon",100.00
32071,"Priya Menon",100.00
32086,"Neha Kapoor",100.00
32092,"Meera Verma",100.00
32096,"Dev Patel",100.00
32106,"Ritika Dubey",100.00
32137,"Mohit Gupta",100.00
32142,"Diya Sinha",100.00
32170,"Dev Thakur",100.00
32174,"Priya Dubey",100.00
32191,"Tanmay Patel",100.00
32197,"Aditi Kapoor",100.00
32221,"Aditi Jain",100.00
32228,"Harsh Pandey",100.00
32240,"Manav Patel",100.00
32269,"Yash Iyer",100.00
32281,"Ananya Jain",100.00
32288,"Varun Thakur",100.00
32297,"Ananya Joshi",100.00
32299,"Mohit Menon",100.00
32320,"Meera Sinha",100.00
32365,"Dev Sharma",100.00
32373,"Pooja Rao",100.00
32380,"Rohan Pandey",100.00
32394,"Ananya Das",100.00
32410,"Ritika Choudhary",100.00
32414,"Siddharth Nair",100.00
32417,"Pooja Thakur",100.00
32425,"Dev Joshi",100.00
32432,"Aman Sinha",100.00
32439,"Harsh Das",100.00
32440,"Siddharth Iyer",100.00
32457,"Siddharth Menon",100.00
32472,"Yash Thakur",100.00
32479,"Dev Khanna",100.00
32490,"Varun Das",100.00
32508,"Priya Kapoor",100.00
32509,"Pooja Gupta",100.00
32516,"Aditi Reddy",100.00
32533,"Aditi Reddy",100.00
32542,"Krishna Sharma",100.00
32549,"Kavya Thakur",100.00
32562,"Arjun Iyer",100.00
32563,"Om Bansal",100.00
32570,"Varun Thakur",100.00
32580,"Rohan Jain",100.00
32596,"Krishna Menon",100.00
32602,"Mohit Reddy",100.00
32617,"Ritesh Iyer",100.00
32630,"Kavya Jain",100.00
32631,"Om Jain",100.00
32641,"Nikhil Dubey",100.00
32648,"Vivaan Verma",100.00
32652,"Tanmay Bansal",100.00
32663,"Kavya Menon",100.00
32675,"Manav Reddy",100.00
32682,"Kavya Pandey",100.00
32684,"Arjun Bansal",100.00
32692,"Diya Choudhary",100.00
32693,"Om Agarwal",100.00
32694,"Diya Jain",100.00
32697,"Ananya Thakur",100.00
32701,"Meera Sinha",100.00
32704,"Kunal Sinha",100.00
32706,"Krishna Reddy",100.00
32713,"Arjun Sharma",100.00
32721,"Meera Reddy",100.00
32722,"Rahul Rao",100.00
32734,"Aditi Mehta",100.00
