student_id,full_name,course_name,attendance_percentage
9612,"Nikhil Khanna","Industrial Engineering",0.00
24925,"Deepak Dubey","Industrial Engineering",0.00
11647,"Sneha Joshi","Industrial Engineering",0.00
46785,"Siddharth Choudhary","Industrial Engineering",0.00
2784,"Aarav Patel","Industrial Engineering",0.00
38152,"Aditya Das","Industrial Engineering",0.00
22493,"Ishaan Sinha","Industrial Engineering",0.00
44143,"Ritika Sharma","Industrial Engineering",0.00
37898,"Kunal Khanna","Industrial Engineering",0.00
47170,"Diya Bansal","Industrial Engineering",0.00
49738,"Nikhil Rao","Industrial Engineering",0.00
6840,"Harsh Reddy","Industrial Engineering",0.00
41760,"Kavya Thakur","Industrial Engineering",0.00
11566,"Pooja Patel","Plant Engineering",0.00
39735,"Neha Mehta","Plant Engineering",0.00
39998,"Kunal Reddy","Plant Engineering",0.00
5351,"Neha Ghosh","Plant Engineering",0.00
15632,"Vivaan Verma","Plant Engineering",0.00
38707,"Sai Gupta","Plant Engineering",0.00
3082,"Vivaan Mehta","Plant Engineering",0.00
40840,"Ritesh Choudhary","Plant Engineering",0.00
24344,"Pooja Gupta","Plant Engineering",0.00
15716,"Ishaan Iyer","Plant Engineering",0.00
49312,"Ritika Kapoor","Plant Engineering",0.00
36728,"Ritika Das","Plant Engineering",0.00
20491,"Neha Khanna","Plant Engineering",0.00
6886,"Siddharth Thakur","Plant Engineering",0.00
43399,"Ananya Joshi","Plant Engineering",0.00
6325,"Kunal Gupta","Plant Engineering",0.00
38771,"Priya Kapoor","Plant Engineering",0.00
5608,"Pooja Joshi","Plant Engineering",0.00
38651,"Vivaan Menon","Plant Engineering",0.00
40137,"Diya Joshi","Plant Engineering",0.00
49775,"Krishna Mehta","Plant Engineering",0.00
24345,"Neha Kapoor","Plant Engineering",0.00
7964,"Pooja Kapoor","Software Architecture",0.00
43446,"Yash Jain","Software Architecture",0.00
41157,"Dev Jain","Software Architecture",0.00
45213,"Priya Iyer","Software Architecture",0.00
46693,"Pooja Reddy","Software Architecture",0.00
28099,"Sneha Ghosh","Software Architecture",0.00
40599,"Mohit Sharma","Software Architecture",0.00
26107,"Ritika Patel","Software Architecture",0.00
14266,"Ananya Iyer","Software Architecture",0.00
45597,"Kavya Ghosh","Software Architecture",0.00
26290,"Mohit Khanna","Software Architecture",0.00
29655,"Kunal Menon","Software Architecture",0.00
12800,"Kavya Dubey","Software Architecture",0.00
22617,"Siddharth Ghosh","Software Architecture",0.00
13530,"Aarav Das","Software Architecture",0.00
47038,"Manav Sinha","Software Architecture",0.00
38955,"Sneha Gupta","Software Architecture",0.00
39815,"Vivaan Jain","Software Architecture",0.00
9273,"Sneha Jain","Software Architecture",0.00
13856,"Yash Ghosh","Software Architecture",0.00
22925,"Sai Menon","Software Architecture",0.00
37214,"Siddharth Bansal","Software Architecture",0.00
13819,"Ishaan Kapoor","Software Architecture",0.00
41693,"Aman Das","Software Architecture",0.00
46589,"Arjun Bansal","Software Architecture",0.00
9057,"Rohan Iyer","Software Architecture",0.00
40303,"Vivaan Ghosh","Software Architecture",0.00
14774,"Ananya Reddy","Software Architecture",0.00
20740,"Ritika Bansal","Software Architecture",0.00
23251,"Tanmay Mehta","Software Architecture",0.00
18573,"Nikhil Sinha","Software Architecture",0.00
27582,"Aarav Khanna","Software Architecture",0.00
19027,"Aditi Patel","Software Architecture",0.00
38999,"Ritesh Jain","Software Architecture",0.00
49739,"Diya Menon","Software Architecture",0.00
6842,"Ananya Jain","Software Architecture",0.00
5983,"Tanmay Reddy","Electrical Measurements",0.00
41517,"Meera Ghosh","Electrical Measurements",0.00
35463,"Varun Kapoor","Electrical Measurements",0.00
49847,"Aarav Agarwal","Electrical Measurements",0.00
9303,"Priya Iyer","Electrical Measurements",0.00
36410,"Arjun Rao","Electrical Measurements",0.00
35282,"Diya Sharma","Electrical Measurements",0.00
827,"Deepak Dubey","Electrical Measurements",0.00
