student_id,full_name
12648,"Ananya Patel"
42995,"Neha Ghosh"
46889,"Priya Thakur"
12673,"Aarav Verma"
23744,"Tanmay Kapoor"
4857,"Rahul Gupta"
15930,"Manav Menon"
31247,"Diya Mehta"
42078,"Ishaan Sinha"
6429,"Siddharth Rao"
30819,"Deepak Pandey"
32018,"Ritika Reddy"
44362,"Vivaan Menon"
13839,"Sneha Joshi"
44738,"Yash Menon"
21366,"Ishaan Rao"
39365,"Sai Kapoor"
34667,"Nikhil Iyer"
33563,"Kavya Pandey"
49867,"Kunal Khanna"
15124,"Manav Patel"
4893,"Aditya Choudhary"
865,"Diya Sharma"
22337,"Neha Verma"
8293,"Vivaan Ghosh"
16820,"Varun Gupta"
22561,"Manav Menon"
17853,"Deepak Thakur"
6210,"Varun Joshi"
3060,"Pooja Pandey"
26873,"Harsh Khanna"
36201,"Vivaan Thakur"
18281,"Aman Agarwal"
36777,"Krishna Mehta"
41558,"Sai Jain"
38989,"Kavya Iyer"
33730,"Nikhil Nair"
12608,"Siddharth Mehta"
47451,"Ishaan Agarwal"
18770,"Om Nair"
17140,"Aman Menon"
5158,"Ritika Khanna"
26897,"Aarav Dubey"
45644,"Om Choudhary"
14043,"Diya Das"
23801,"Siddharth Nair"
33756,"Arjun Ghosh"
48469,"Aditya Iyer"
8463,"Pooja Verma"
8538,"Aman Ghosh"
26991,"Deepak Nair"
32320,"Meera Sinha"
36680,"Mohit Reddy"
9516,"Dev Gupta"
4104,"Sai Mehta"
27115,"Rohan Menon"
3447,"Arjun Jain"
29552,"Sneha Agarwal"
12552,"Kunal Reddy"
48144,"Meera Thakur"
10559,"Vivaan Patel"
16983,"Ananya Gupta"
1884,"Aman Pandey"
15557,"Ananya Reddy"
47049,"Arjun Dubey"
6563,"Pooja Joshi"
20611,"Pooja Das"
25878,"Harsh Nair"
4448,"Mohit Iyer"
9759,"Meera Sharma"
15662,"Aarav Das"
11788,"Ritesh Choudhary"
40988,"Meera Choudhary"
6650,"Ritesh Agarwal"
12166,"Ritika Choudhary"
43924,"Deepak Agarwal"
30130,"Arjun Joshi"
29694,"Priya Reddy"
40026,"Kunal Choudhary"
17615,"Rohan Rao"
38551,"Nikhil Thakur"
3294,"Harsh Sinha"
11024,"Deepak Nair"
7572,"Nikhil Agarwal"
38402,"Nikhil Agarwal"
16399,"Tanmay Dubey"
20448,"Pooja Joshi"
13786,"Rahul Patel"
7971,"Manav Mehta"
31468,"Kavya Pandey"
1163,"Kunal Das"
43338,"Varun Nair"
16106,"Aditi Khanna"
34359,"Kunal Kapoor"
12195,"Varun Verma"
48094,"Kunal Sharma"
6607,"Kunal Jain"
25026,"Vivaan Reddy"
26649,"Kunal Khanna"
43839,"Varun Joshi"
46442,"Yash Dubey"
12846,"Tanmay Thakur"
26754,"Om Sinha"
18456,"Dev Joshi"
16866,"Priya Jain"
1435,"Nikhil Agarwal"
39235,"Dev Mehta"
23289,"Vivaan Choudhary"
16570,"Sneha Thakur"
42500,"Kunal Patel"
31649,"Om Iyer"
44718,"Aditi Nair"
35593,"Priya Verma"
32432,"Aman Sinha"
42490,"Sneha Bansal"
23001,"Yash Gupta"
9906,"Pooja Sharma"
42199,"Ritesh Reddy"
43711,"Ishaan Reddy"
23868,"Dev Pandey"
10397,"Neha Pandey"
12568,"Sneha Nair"
2520,"Nikhil Ghosh"
7794,"Deepak Thakur"
21228,"Sai Choudhary"
31558,"Om Patel"
8958,"Diya Nair"
40501,"Diya Jain"
22725,"Diya Jain"
1527,"Siddharth Gupta"
